=== VGA GRAYSCALE IMAGE SIMULATION ===
Target: Display grayscale image from BRAM
Mode: 0000 (Grayscale Conversion)
============================================
Cyc | Time(ns) | Rst | Mode | Val | HS | VS | R    | G    | B    | RGB_Hex
============================================

PHASE 0: RESET
  1 |                 5000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  2 |                15000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  3 |                25000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  4 |                35000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  5 |                45000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  6 |                55000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  7 |                65000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  8 |                75000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
  9 |                85000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 10 |                95000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 11 |               105000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 12 |               115000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 13 |               125000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 14 |               135000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 15 |               145000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 16 |               155000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 17 |               165000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 18 |               175000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 19 |               185000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 20 |               195000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 21 |               205000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 22 |               215000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 23 |               225000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 24 |               235000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 25 |               245000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 26 |               255000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 27 |               265000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 28 |               275000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 29 |               285000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 30 |               295000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 31 |               305000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 32 |               315000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 33 |               325000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 34 |               335000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 35 |               345000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 36 |               355000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 37 |               365000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 38 |               375000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 39 |               385000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 40 |               395000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 41 |               405000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 42 |               415000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 43 |               425000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 44 |               435000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 45 |               445000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 46 |               455000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 47 |               465000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 48 |               475000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 49 |               485000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000
 50 |               495000 | 1 | 0000 |  0 | 0  | 0  | 0000 | 0000 | 0000 | #000

PHASE 1: ACTIVE SIMULATION - GRAYSCALE MODE
